PaymentId,LoanId,PaymentDate,Code,ReferenceNumber,Amount,Principal,PaidThrough,InterestOrLateCharge
1,1,2024-02-01,PMT,REF-001-0224,425.00,312.45,2024-02-01,112.55
2,1,2024-01-01,PMT,REF-001-0124,425.00,310.12,2024-01-01,114.88
3,1,2023-12-01,PMT,REF-001-1223,425.00,308.00,2023-12-01,117.00
4,1,2023-11-01,PMT,REF-001-1123,425.00,305.75,2023-11-01,119.25
5,2,2024-02-01,PMT,REF-002-0224,1124.00,380.22,2024-02-01,743.78
6,2,2024-01-01,PMT,REF-002-0124,1124.00,378.55,2024-01-01,745.45
7,2,2023-12-01,PMT,REF-002-1223,1124.00,376.90,2023-12-01,747.10
8,3,2024-02-01,PMT,REF-003-0224,185.00,142.30,2024-02-01,42.70
9,3,2024-01-01,PMT,REF-003-0124,185.00,140.85,2024-01-01,44.15
10,4,2024-02-01,PMT,REF-004-0224,598.00,445.20,2024-02-01,152.80
11,4,2024-01-01,PMT,REF-004-0124,598.00,443.10,2024-01-01,154.90
12,5,2024-01-01,PMT,REF-005-0124,145.00,98.45,2024-01-01,46.55
13,5,2023-12-01,LFC,REF-005-1223,25.00,0.00,2023-12-01,25.00
14,5,2023-12-01,PMT,REF-005-1223B,145.00,96.20,2023-12-01,48.80
